Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22nF/50V","C_0402_1005Metric",139.261400,-116.609200,180.000000,bottom
"C2","100nF/50V","C_0402_1005Metric",139.271400,-115.319200,180.000000,bottom
"C6","100nF/50V","C_0402_1005Metric",149.241400,-113.949200,-90.000000,bottom
"C7","4.7uF","C_0402_1005Metric",143.311400,-108.879200,-90.000000,bottom
"C8","1uF/50V","C_0402_1005Metric",141.291400,-123.549200,-90.000000,bottom
"C9","100nF/50V","C_0402_1005Metric",140.161400,-123.549200,-90.000000,bottom
"C10","100nF/50V","C_0402_1005Metric",139.041400,-123.539200,-90.000000,bottom
"R1","20K","R_0402_1005Metric",139.261400,-118.299200,0.000000,bottom
"R2","20K","R_0402_1005Metric",145.391400,-108.849200,-90.000000,bottom
"R3","1K","R_0402_1005Metric",146.501400,-108.859200,-90.000000,bottom
"R6","20K","R_0402_1005Metric",144.351400,-108.859200,90.000000,bottom
"R7","100K","R_0402_1005Metric",153.951400,-118.229200,180.000000,bottom
"R8","NC","R_0402_1005Metric",139.241400,-114.289200,180.000000,bottom
"R9","NC","R_0402_1005Metric",139.261400,-113.279200,0.000000,bottom
"RV1","20K","Potentiometer_Bourns_TC33X_Vertical",152.341400,-106.999200,-90.000000,bottom
"U1","TMC2209","QFN28_5X5_TRI",144.845900,-117.576600,0.000000,bottom
"U2","M.2-B-KEY","M.2-B-KEY",144.780000,-130.900000,0.000000,top
