Designator,Val,Package,Mid X,Mid Y,Rot,Layer,Rotation
C1,22nF/50V,C_0402_1005Metric,140.6914,-117.5492,90,Bottom,90
C2,100nF/50V,C_0402_1005Metric,139.2714,-115.3192,180,Bottom,180
C6,100nF/50V,C_0402_1005Metric,148.5914,-115.0692,-90,Bottom,270
C7,4.7uF 10V,C_0402_1005Metric,143.3114,-108.8792,-90,Bottom,270
C8,1uF/50V,C_0402_1005Metric,139.5914,-123.5492,-90,Bottom,270
C9,100nF/50V,C_0402_1005Metric,140.6914,-123.5492,-90,Bottom,270
C10,100nF/50V,C_0402_1005Metric,149.8914,-124.0492,-90,Bottom,270
R1,20K,R_0402_1005Metric,138.6914,-118.2992,0,Bottom,0
R2,20K,R_0402_1005Metric,145.3914,-108.8492,-90,Bottom,270
R3,0R100,R_1206_3216Metric,147.1914,-123.1117,90,Bottom,90
R4,0R100,R_1206_3216Metric,142.5914,-123.1492,90,Bottom,90
R5,20K,R_0402_1005Metric,149.4914,-108.7492,-90,Bottom,270
R6,20K,R_0402_1005Metric,144.3514,-108.8592,90,Bottom,90
R7,100K,R_0402_1005Metric,153.9514,-118.2292,180,Bottom,180
R10,20K,R_0402_1005Metric,150.1914,-113.1492,-90,Bottom,270
U1,TMC2209,QFN28_5X5_TRI,144.8459,-117.5766,0,Bottom,0
